"","crime_day","temp","wdsp","NUM_CRIMES"
"542",3,79.5,16.1,0.812339331619537
"543",4,79.4,5.4,0.812339331619537
"544",5,77.6,13.8,0.951156812339332
"545",6,72,10.7,0.74293059125964
"546",7,73.6,10.8,0.735218508997429
"547",1,76.1,11.2,0.709511568123393
"548",2,76.5,5.3,0.552699228791774
"549",3,71,14.7,0.439588688946015
"550",4,71.4,7,0.652956298200514
"551",5,72.3,6.8,0.724935732647815
"552",6,75.8,7.4,0.794344473007712
"553",7,78.7,16.4,0.498714652956298
"554",1,77.1,12.6,0.552699228791774
"555",2,77,14.1,0.627249357326478
"556",3,73.2,11.1,0.647814910025707
"557",4,69,17.1,0.442159383033419
"558",5,70.2,7.9,0.740359897172236
"559",6,73.3,8,0.696658097686375
"560",7,74.5,4.8,0.84318766066838
"561",1,72.7,6.8,0.766066838046273
"562",2,76.7,8.5,0.606683804627249
"563",3,72,10.8,0.737789203084833
"564",4,70.7,10,0.616966580976864
"565",5,71.6,8.6,0.665809768637532
"566",6,74.6,11.8,0.794344473007712
"567",7,76.2,11.4,0.732647814910026
"568",1,77.1,14.4,0.70694087403599
"569",2,76.2,6.1,0.560411311053985
"570",3,79.9,8,0.719794344473008
"571",4,80.5,9.3,0.853470437017995
"572",5,75.5,14.1,0.727506426735218
"573",6,77.8,8.1,0.904884318766067
"574",7,78.3,6.9,0.894601542416452
"575",1,80.2,12.6,0.717223650385604
"576",2,73.6,15.6,0.593830334190231
"577",3,71.7,21.7,0.637532133676093
"578",4,74.3,8.4,0.491002570694087
"579",5,71,15.4,0.598971722365039
"580",6,67.7,17.2,0.7146529562982
"581",7,69.9,13.6,0.570694087403599
"582",2,74.3,7.3,0.508997429305913
"583",3,75.6,7.2,0.488431876606684
"584",4,74.4,18,0.506426735218509
"585",5,76.5,16.7,0.491002570694087
"586",6,74.5,11.7,0.622107969151671
"587",7,72.4,16.6,0.598971722365039
"588",1,71.2,21.4,0.488431876606684
"589",2,67,15.6,0.506426735218509
"590",3,67.9,7.3,0.437017994858612
"591",4,69.3,8,0.398457583547558
"592",5,72.3,11.5,0.534704370179949
"593",6,74.6,9.7,0.696658097686375
"594",7,81.7,13.7,0.516709511568123
"595",1,83.7,16.7,0.61439588688946
"596",2,85.2,12.8,0.529562982005141
"597",3,77.1,13.5,0.663239074550129
"598",4,73.4,8.7,0.529562982005141
"599",5,77.2,10.6,0.737789203084833
"600",6,75,9.3,0.663239074550129
"602",1,69.5,14.3,0.724935732647815
"603",2,68.8,11.2,0.686375321336761
"604",3,71.5,11,0.650385604113111
"605",4,77.2,9.4,0.740359897172236
"606",5,70,18.5,0.696658097686375
"607",6,59.9,22.8,0.670951156812339
"608",7,62.8,11.9,0.616966580976864
"609",1,70.5,17.4,0.562982005141388
"610",2,73.8,8.5,0.570694087403599
"611",3,73.6,10.9,0.580976863753213
"612",4,73.6,7,0.524421593830334
"613",5,74.2,16,0.83547557840617
"614",6,74.1,11.5,0.727506426735218
"615",7,74.6,10.4,0.77120822622108
"616",1,74.9,9.4,0.609254498714653
"617",2,73.6,7.7,0.70694087403599
