"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_CRIMES"
"205",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,72.4,5,0.790575916230366
"206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,73,8.3,0.617801047120419
"207",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,68.4,7.6,0.732984293193717
"208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,67.6,9.8,0.68848167539267
"209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,69.5,7.9,0.777486910994764
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,70.2,13.1,0.719895287958115
"211",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,69.9,14.8,0.892670157068063
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,69.6,12.1,0.808900523560209
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,69.4,12.1,0.861256544502618
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,65.6,15.1,0.56020942408377
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,67.5,9.7,0.816753926701571
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,64.4,9.9,0.657068062827225
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,65.7,7.6,0.829842931937173
"218",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,72,11.4,0.808900523560209
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,68.6,10.9,0.827225130890052
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,66.3,8.9,0.706806282722513
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,76,14.8,0.602094240837696
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,76.4,9.4,0.75130890052356
